CSCO,243.0892961,389
DELL,243.7234912,496
GOOG,243.9495532,201
MSFT,244.2270133,344
ORCL,244.4113324,422
SUNW,244.0461187,450
YHOO,245.3981488,386
CSCO,245.757385,129
DELL,245.5521057,419
GOOG,246.569601,331
MSFT,247.9411654,463
ORCL,246.0509669,160
SUNW,245.583845,490
YHOO,244.9127708,126
CSCO,243.2333735,128
DELL,242.9647622,136
GOOG,242.6647571,270
MSFT,241.2430661,450
ORCL,241.3383681,330
SUNW,240.9490718,259
YHOO,242.0944064,203
CSCO,243.2107384,161
DELL,242.6240506,204
GOOG,244.425431,285
MSFT,245.8955019,276
ORCL,246.9687593,185
SUNW,248.2396738,346
YHOO,246.3337761,113
CSCO,247.6393599,376
DELL,247.6962702,374
GOOG,248.1829468,130
MSFT,246.7772475,479
ORCL,245.6858201,275
SUNW,246.7673422,378
YHOO,246.6928424,371
CSCO,247.1762483,352
DELL,248.4083285,330
GOOG,247.5073921,255
MSFT,248.0956312,176
ORCL,248.0767941,111
SUNW,247.0193648,113
YHOO,247.8307356,432
CSCO,247.591129,396
DELL,247.259076,477
GOOG,250.017883,430
MSFT,250.6300494,306
ORCL,249.4456905,338
SUNW,249.6242152,191
YHOO,248.6526001,221
CSCO,247.7536578,378
DELL,247.4510573,271
GOOG,246.2590626,486
MSFT,247.128964,390
ORCL,246.6125163,234
SUNW,246.2417062,483
YHOO,247.8928374,294
CSCO,248.486796,198
DELL,248.9260385,378
GOOG,248.1518194,188
MSFT,248.1286003,144
ORCL,248.9223237,327
SUNW,250.4155493,306
YHOO,249.5782064,162
CSCO,249.5259431,321
DELL,248.1583246,205
GOOG,248.4386295,212
MSFT,248.6756851,266
ORCL,249.266282,167
SUNW,247.9583114,433
YHOO,244.8730243,221
CSCO,244.9798552,279
DELL,246.085928,395
GOOG,246.8559563,107
MSFT,247.3957437,170
ORCL,248.54206,493
SUNW,249.2164983,477
YHOO,250.1207742,440
CSCO,248.7913688,404
DELL,249.4292515,128
GOOG,250.0930053,295
MSFT,250.6181696,170
ORCL,248.4257393,485
SUNW,247.7726425,346
YHOO,246.7707895,386
CSCO,245.7369688,133
DELL,245.3309276,290
GOOG,244.4162606,180
MSFT,243.9959415,325
ORCL,243.7293946,441
SUNW,243.1664633,141
YHOO,242.7701887,367
CSCO,241.1747485,468
DELL,241.0666909,295
GOOG,239.9658497,289
MSFT,239.5722153,314
ORCL,241.0627575,446
SUNW,240.8975134,431
YHOO,242.5143546,392
CSCO,242.7651374,411
DELL,242.51858,365
GOOG,241.6129897,359
MSFT,241.9358804,213
ORCL,241.058553,102
SUNW,240.8189981,164
YHOO,240.5665981,412
CSCO,241.0561299,417
DELL,240.9309848,225
GOOG,240.1580049,109
MSFT,241.390331,313
ORCL,241.9911766,245
SUNW,243.2641397,224
YHOO,243.5500811,183
CSCO,243.1708813,163
DELL,243.3079359,246
GOOG,243.4057196,108
MSFT,243.637593,192
ORCL,242.4517486,159
SUNW,242.1414941,235
YHOO,241.4854845,222
CSCO,241.7883349,136
DELL,241.0768295,275
GOOG,241.2609101,201
MSFT,240.4589882,286
ORCL,240.0165074,153
SUNW,238.9635826,272
YHOO,238.9169302,407
CSCO,238.632951,289
DELL,238.6155374,403
GOOG,238.4029736,438
MSFT,238.0644267,164
ORCL,237.9654896,150
SUNW,239.1161815,353
YHOO,239.3549115,143
CSCO,239.5415974,257
